ID,gre,mesoregiao,tipoEscola,serie,sexo,idade,afTL,diasAFMV,afmvH,afmvMin,tvSemH,tvSemMin,tvFdsH,tvFdsMin,mediaTV_sem,media_sed_tv,pcSemH,pcSemMin,pcFdsH,pcFdsMin,mediaPC_sem,media_sed_pc,vgSemH,vgSemMin,vgFdsH,vgFdsMin,mediaVG_sem,media_sed_vg,sptSemH,sptSemMin,sptFdsH,sptFdsMin,mediaSPT_sem,media_sed_spt,massa,estatura
1,8,3,5,3,2,17,2,1,0,0,1,30,4,0,2.21,1,2,0,5,30,3.00,1,0,0,0,0,0.00,2,8,30,10,50,9.17,1,51.9,158.3
2,8,3,5,3,1,18,1,5,1,30,4,0,4,0,4.00,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,10,0,10,0,10.00,1,65.6,166.5
3,8,3,5,3,2,17,2,1,0,0,0,40,4,30,1.76,2,0,50,3,0,1.45,2,0,0,0,0,0.00,2,1,0,2,30,1.43,2,72.8,163.5
4,8,3,5,3,1,17,1,4,1,30,0,0,1,30,0.43,2,0,0,0,30,0.14,2,2,0,3,0,2.29,1,14,0,10,0,12.86,1,80.8,173.1
5,8,3,5,3,2,16,2,1,0,0,1,0,2,0,1.29,2,0,30,0,30,0.50,2,0,0,0,0,0.00,2,5,0,8,0,5.86,1,64.9,164.2
6,8,3,5,3,2,17,2,1,0,0,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,55.3,159.9
7,8,3,5,3,2,17,2,2,1,0,0,40,2,30,1.19,2,1,30,3,0,1.93,2,0,0,0,0,0.00,2,1,0,4,0,1.86,2,43.6,149.5
8,8,3,5,3,2,17,1,4,1,0,0,40,1,0,0.76,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,1,0,15,0,5.00,1,129.1,167.8
9,8,3,5,3,2,17,2,3,2,0,0,0,1,0,0.29,2,0,0,1,0,0.29,2,0,0,0,0,0.00,2,3,0,5,0,3.57,1,61.8,165.8
10,8,3,5,3,1,17,1,6,4,0,2,0,0,0,1.43,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,18,0,10,0,15.71,1,58.6,172.0
